Date,Open,High,Low,Close,Adj Close,Volume
2017-01-17,128.039993,128.339996,127.400002,127.870003,127.870003,15228000
2017-01-18,128.410004,128.429993,126.839996,127.919998,127.919998,13145900
2017-01-19,128.229996,128.350006,127.449997,127.550003,127.550003,12195500
2017-01-20,128.100006,128.479996,126.779999,127.040001,127.040001,19097200
2017-01-23,127.309998,129.25,126.949997,128.929993,128.929993,16593600
2017-01-24,129.380005,129.899994,128.380005,129.369995,129.369995,15162700
2017-01-25,130,131.740005,129.770004,131.479996,131.479996,18731300
2017-01-26,131.630005,133.139999,131.440002,132.779999,132.779999,20020100
2017-01-27,132.679993,132.949997,131.080002,132.179993,132.179993,19539500
2017-01-30,131.580002,131.580002,129.600006,130.979996,130.979996,18956100
2017-01-31,130.169998,130.660004,129.520004,130.320007,130.320007,19790500
2017-02-01,132.25,133.490005,130.679993,133.229996,133.229996,50139800
2017-02-02,133.220001,135.490005,130.399994,130.839996,130.839996,54366400
2017-02-03,131.240005,132.850006,130.759995,130.979996,130.979996,24804900
2017-02-06,130.979996,132.059998,130.300003,132.059998,132.059998,17058500
2017-02-07,132.240005,133,131.660004,131.839996,131.839996,14596400
2017-02-08,132.600006,134.440002,132.440002,134.199997,134.199997,22390600
2017-02-09,134.490005,134.5,133.309998,134.139999,134.139999,16470600
2017-02-10,134.100006,134.940002,133.679993,134.190002,134.190002,15061900
2017-02-13,134.699997,134.699997,133.699997,134.050003,134.050003,13526200
2017-02-14,134.100006,134.229996,132.550003,133.850006,133.850006,14340100
2017-02-15,133.449997,133.699997,132.660004,133.440002,133.440002,13226500
2017-02-16,133.070007,133.869995,133.020004,133.839996,133.839996,12831100
2017-02-17,133.5,134.089996,133.169998,133.529999,133.529999,12276500
2017-02-21,133.5,133.910004,132.899994,133.720001,133.720001,14759100
2017-02-22,133.600006,136.789993,133.460007,136.119995,136.119995,27360100
2017-02-23,135.889999,136.119995,134.330002,135.360001,135.360001,18422500
2017-02-24,134.160004,135.619995,134.160004,135.440002,135.440002,12625700
2017-02-27,135.259995,137.179993,135.020004,136.410004,136.410004,14306700
2017-02-28,136.789993,136.809998,134.75,135.539993,135.539993,16112100
2017-03-01,136.470001,137.479996,136.300003,137.419998,137.419998,16257000
2017-03-02,137.089996,137.820007,136.309998,136.759995,136.759995,12294800
2017-03-03,136.630005,137.330002,136.080002,137.169998,137.169998,11160600
2017-03-06,136.880005,137.830002,136.509995,137.419998,137.419998,12748200
2017-03-07,137.029999,138.369995,136.990005,137.300003,137.300003,13527100
2017-03-08,137.149994,137.990005,137.050003,137.720001,137.720001,10184500
2017-03-09,137.720001,138.570007,137.399994,138.240005,138.240005,15535300
2017-03-10,138.910004,139.490005,138.220001,138.789993,138.789993,16314100
2017-03-13,138.710007,139.679993,138.669998,139.600006,139.600006,10955500
2017-03-14,139.460007,139.460007,138.520004,139.320007,139.320007,12944000
2017-03-15,139.289993,140.100006,138.490005,139.720001,139.720001,19344800
2017-03-16,140.199997,140.25,139.729996,139.990005,139.990005,13612900
2017-03-17,140.339996,140.339996,139.699997,139.839996,139.839996,20592800
2017-03-20,139.710007,140.190002,139.25,139.940002,139.940002,12099500
2017-03-21,141.149994,142.309998,138.399994,138.509995,138.509995,29894800
2017-03-22,137.929993,139.789993,137.600006,139.589996,139.589996,17055400
2017-03-23,139.479996,140.389999,139.089996,139.529999,139.529999,13022800
2017-03-24,140.080002,141.020004,139.759995,140.339996,140.339996,16664700
2017-03-27,139.050003,140.649994,138.770004,140.320007,140.320007,12800500
